-7.555 , -7.29
-7.684 , -9.847
-4.476 , 9.775
-1.894 , -5.868
-1.932 , -3.555
5.833 , 0.789
7.805 , 6.299
-9.758 , 0.158
8.302 , 3.165
-6.762 , -2.52
4.168 , 3.533
8.996 , -9.325
8.117 , -3.312
2.852 , 0.942
-9.097 , 3.68
5.694 , -1.11
-5.127 , 1.955
-4.726 , 3.585
-5.802 , -0.755
-6.258 , -4.319
-9.184 , -1.522
2.077 , 9.199
2.412 , -2.274
-8.866 , 0.653
5.667 , 9.725
1.709 , -1.264
-8.127 , -0.427
0.309 , 1.542
1.772 , -7.113
2.167 , -2.828
-3.107 , -2.49
-7.722 , -4.142
-0.9 , 7.745
9.92 , 1.201
-5.222 , -2.706
1.872 , 0.157
-0.146 , -7.851
7.097 , -3.231
5.118 , 9.716
-8.256 , -1.072
