9.713 , -3.315
3.629 , -0.004
3.054 , 8.061
-7.951 , -2.755
-9.323 , 1.719
8.22 , 9.156
-7.583 , -8.446
-5.148 , 8.347
2.041 , -1.712
2.083 , 3.342
2.189 , -6.897
-9.092 , 4.38
9.485 , -9.917
9.385 , -9.809
7.644 , -7.948
-7.493 , 6.733
-5.424 , 0.096
-0.743 , 1.638
-0.988 , 2.231
4.404 , 6.167
7.788 , 0.024
6.408 , -9.056
8.559 , -2.718
6.347 , 4.402
-4.606 , 4.169
-1.324 , 5.501
-4.313 , 1.526
2.664 , -8.271
-0.007 , -6.18
-6.208 , -9.736
4.914 , 0.295
2.364 , -4.275
-8.081 , -4.995
9.848 , 1.42
-1.829 , -2.738
1.722 , 4.899
7.424 , -3.697
-1.465 , -8.04
-5.574 , 0.721
8.432 , -3.532
-6.091 , -2.417
6.058 , 5.098
7.511 , -9.357
9.651 , 0.949
-8.491 , -6.218
4.784 , -7.713
3.341 , 9.467
9.595 , -6.248
-2.754 , 8.913
-4.07 , -6.607
-0.629 , -4.182
-5.593 , -7.25
0.75 , 4.403
8.537 , 8.326
-5.418 , -8.141
4.763 , -9.828
0.824 , -9.498
4.086 , -3.732
-7.72 , -1.939
5.92 , -0.028
-1.484 , 1.435
3.531 , -4.824
3.949 , -3.801
7.8 , 0.643
2.172 , 5.487
6.067 , 2.792
0.215 , 5.552
-7.254 , 0.914
0.021 , 9.223
-2.737 , 9.526
-1.329 , 7.028
-5.557 , -6.608
8.212 , -8.384
5.642 , 8.943
7.27 , 5.207
6.832 , 1.545
-2.39 , 1.705
-8.69 , -4.469
-5.398 , 3.375
4.866 , 3.936
